"key","file","line","xName","attribute","value","reviewFlag","siblingNames","helpText","ownToolTip"
"Controls_ControlsTab_Header","src/TrueforceForAll.Plugin/SettingsControl.xaml","4448","ControlsTab","Header","Controls","","EffectsTab TelemetryFfbTab LightsyncTab PresetsTab SettingsTab AccountTab SupportTab","",""
"Controls_ControlsTabHostControllerBindings","src/TrueforceForAll.Plugin/SettingsControl.xaml","4451","ControlsTabHost/Border[1]/TextBlock[1]","Text","Controller bindings","","","Bind wheel or button-box controls to adjust things while you drive, without opening this panel. Click a field below, then press the button you want to use. Master gain stays between 0 and 2.",""
"Controls_ControlsTabHostBindWheelOrButton","src/TrueforceForAll.Plugin/SettingsControl.xaml","4453","ControlsTabHost/TextBlock[1]","Text","Bind wheel or button-box controls to adjust things while you drive, without opening this panel. Click a field below, then press the button you want to use. Master gain stays between 0 and 2.","","","",""
"Controls_ControlsTabHostStepPerPress","src/TrueforceForAll.Plugin/SettingsControl.xaml","4458","ControlsTabHost/Grid[1]/TextBlock[1]","Text","Step per press","","MasterGainStepSlider","","How far master gain moves on each press of the bound buttons below."
"Controls_ControlsTabHostStepPerPress_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","4459","ControlsTabHost/Grid[1]/TextBlock[1]","ToolTip","How far master gain moves on each press of the bound buttons below.","","MasterGainStepSlider","",""
"Controls_ControlsTabHostMasterGainUp","src/TrueforceForAll.Plugin/SettingsControl.xaml","4469","ControlsTabHost/Grid[2]/TextBlock[1]","Text","Master gain up","","","",""
"Controls_ControlsTabHostTf4allMasterGainUp_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4471","ControlsTabHost/Grid[2]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: master gain up","","","",""
"Controls_ControlsTabHostMasterGainDown","src/TrueforceForAll.Plugin/SettingsControl.xaml","4475","ControlsTabHost/Grid[3]/TextBlock[1]","Text","Master gain down","","","",""
"Controls_ControlsTabHostTf4allMasterGainDown_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4477","ControlsTabHost/Grid[3]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: master gain down","","","",""
"Controls_ControlsTabHostTelemetryFfbUp","src/TrueforceForAll.Plugin/SettingsControl.xaml","4481","ControlsTabHost/Grid[4]/TextBlock[1]","Text","Telemetry FFB up","","","",""
"Controls_ControlsTabHostTf4allTelemetryFfbStrengthUp_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4483","ControlsTabHost/Grid[4]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: telemetry FFB strength up","collision: 2 rows propose Controls_ControlsTabHostTf4allTelemetryFfbStrength_FriendlyName (longer word run used)","","",""
"Controls_ControlsTabHostTelemetryFfbDown","src/TrueforceForAll.Plugin/SettingsControl.xaml","4487","ControlsTabHost/Grid[5]/TextBlock[1]","Text","Telemetry FFB down","","","",""
"Controls_ControlsTabHostTf4allTelemetryFfbStrengthDown_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4489","ControlsTabHost/Grid[5]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: telemetry FFB strength down","collision: 2 rows propose Controls_ControlsTabHostTf4allTelemetryFfbStrength_FriendlyName (longer word run used)","","",""
"Controls_ControlsTabHostWheelOledNext","src/TrueforceForAll.Plugin/SettingsControl.xaml","4493","ControlsTabHost/Grid[6]/TextBlock[1]","Text","Wheel OLED next","","","",""
"Controls_ControlsTabHostTf4allWheelOledNext_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4495","ControlsTabHost/Grid[6]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: wheel OLED next","","","",""
"Controls_ControlsTabHostWheelOledBack","src/TrueforceForAll.Plugin/SettingsControl.xaml","4499","ControlsTabHost/Grid[7]/TextBlock[1]","Text","Wheel OLED back","","","",""
"Controls_ControlsTabHostTf4allWheelOledBack_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4501","ControlsTabHost/Grid[7]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: wheel OLED back","","","",""
"Controls_ControlsTabHostRevPatternNext","src/TrueforceForAll.Plugin/SettingsControl.xaml","4505","ControlsTabHost/Grid[8]/TextBlock[1]","Text","Rev pattern next","","","",""
"Controls_ControlsTabHostTf4allRevLightPatternNext_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4507","ControlsTabHost/Grid[8]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: rev-light pattern next","collision: 2 rows propose Controls_ControlsTabHostTf4allRevLightPattern_FriendlyName (longer word run used)","","",""
"Controls_ControlsTabHostRevPatternBack","src/TrueforceForAll.Plugin/SettingsControl.xaml","4511","ControlsTabHost/Grid[9]/TextBlock[1]","Text","Rev pattern back","","","",""
"Controls_ControlsTabHostTf4allRevLightPatternBack_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4513","ControlsTabHost/Grid[9]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: rev-light pattern back","collision: 2 rows propose Controls_ControlsTabHostTf4allRevLightPattern_FriendlyName (longer word run used)","","",""
"Controls_ControlsTabHostDashTabNext","src/TrueforceForAll.Plugin/SettingsControl.xaml","4517","ControlsTabHost/Grid[10]/TextBlock[1]","Text","Dash tab next","","","",""
"Controls_ControlsTabHostTf4allDashTabNext_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4519","ControlsTabHost/Grid[10]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: dash tab next","","","",""
"Controls_ControlsTabHostDashTabBack","src/TrueforceForAll.Plugin/SettingsControl.xaml","4523","ControlsTabHost/Grid[11]/TextBlock[1]","Text","Dash tab back","","","",""
"Controls_ControlsTabHostTf4allDashTabBack_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4525","ControlsTabHost/Grid[11]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: dash tab back","","","",""
"Controls_ControlsTabHostPeakForceUp","src/TrueforceForAll.Plugin/SettingsControl.xaml","4529","ControlsTabHost/Grid[12]/TextBlock[1]","Text","Peak force up","","","",""
"Controls_ControlsTabHostTf4allMaxForceUp_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4531","ControlsTabHost/Grid[12]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: max force up (iRacing)","","","",""
"Controls_ControlsTabHostPeakForceDown","src/TrueforceForAll.Plugin/SettingsControl.xaml","4535","ControlsTabHost/Grid[13]/TextBlock[1]","Text","Peak force down","","","",""
"Controls_ControlsTabHostTf4allMaxForceDown_FriendlyName","src/TrueforceForAll.Plugin/SettingsControl.xaml","4537","ControlsTabHost/Grid[13]/shui:ControlsEditor[1]","FriendlyName","TF4ALL: max force down (iRacing)","","","",""
"Controls_ControlsTabHostAutoForce","src/TrueforceForAll.Plugin/SettingsControl.xaml","4545","ControlsTabHost/Grid[14]/TextBlock[1]","Text","Auto force","","","These actions also appear in SimHub's Controls and events list. Bindings are stored by SimHub, not in your TF4ALL preset.","Runs the current game's auto force calibration: iRacing sets the max force from the learned peak, Forza re-levels the auto strength."
"Controls_ControlsTabHostAutoForce_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","4546","ControlsTabHost/Grid[14]/TextBlock[1]","ToolTip","Runs the current game's auto force calibration: iRacing sets the max force from the learned peak, Forza re-levels the auto strength.","","","These actions also appear in SimHub's Controls and events list. Bindings are stored by SimHub, not in your TF4ALL preset.",""
